Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
Bujnicki_1,37.066,54.362,0.682,0.85,0,0.672,0.55,1.00E+00,14.05,1
Bujnicki_2,30.968,45.564,0.68,0.814,-,0.669,1.28,1.00E+00,13.58,1
Bujnicki_3,32.166,53.891,0.597,0.701,-,0.593,0.92,1.00E+00,13.34,1
Bujnicki_4,32.131,49.279,0.652,0.784,0,0.648,1.83,1.00E+00,13.99,1
Chen_1,25.231,41.423,0.609,0.8,0.177,0.573,0.18,5.62E-01,18.93,1
Chen_2,23.111,38.653,0.598,0.715,0.289,0.578,0.18,1.53E-01,20.79,1
Chen_3,24.58,38.738,0.635,0.854,0.112,0.588,0.37,4.18E-01,20.66,1
Chen_4,22.971,35.191,0.653,0.837,0,0.627,0.73,1.36E-01,17.01,1
Chen_5,24.323,37.807,0.643,0.821,0,0.624,15.23,3.64E-01,15.02,1
Chen_6,36.857,57.517,0.641,0.809,0,0.619,2.02,1.00E+00,16.48,1
Chen_7,31.732,50.565,0.628,0.801,0,0.606,9.72,1.00E+00,16.41,1
Das_1,14.983,20.587,0.728,0.885,0.333,0.705,23.85,1.53E-08,16.06,1
Das_2,14.327,19.738,0.726,0.885,0.347,0.705,17.24,1.79E-09,14.96,1
Das_3,16.354,22.591,0.724,0.874,0.217,0.72,17.05,8.93E-07,13.86,1
Das_4,12.283,16.958,0.724,0.885,0.316,0.702,23.48,9.76E-13,14.2,1
Das_5,16.438,21.954,0.749,0.885,0.361,0.738,13.39,1.13E-06,13.18,1
Das_6,12.92,17.79,0.726,0.885,0.333,0.702,24.59,1.16E-11,15.66,1
Das_7,18.623,25.382,0.734,0.869,0.237,0.731,13.21,2.19E-04,15.51,1
Das_8,18.697,25.054,0.746,0.877,0.334,0.743,13.02,2.56E-04,14.22,1
Das_9,15.724,21.882,0.719,0.885,0.347,0.694,17.98,1.47E-07,14.06,1
Das_10,30.177,42.632,0.708,0.877,0.25,0.698,19.82,9.98E-01,14.28,1
Dokholyan_1,27.639,41.059,0.673,0.838,0,0.656,7.34,9.32E-01,16.7,1
Dokholyan_2,27.971,40.374,0.693,0.834,0,0.682,7.89,9.53E-01,17.86,1
Dokholyan_3,27.392,39.58,0.692,0.842,0,0.687,6.6,9.12E-01,18.18,1
Dokholyan_4,26.322,39.055,0.674,0.854,0,0.654,7.52,7.77E-01,17.7,1
Dokholyan_5,23.771,35.611,0.668,0.854,0,0.644,7.52,2.56E-01,17.42,1
Dokholyan_6,38.493,59.011,0.652,0.78,0,0.647,9.54,1.00E+00,17.92,1
Major_1,22.127,29.682,0.745,0.865,0.335,0.735,0.18,5.83E-02,20.85,1
Major_2,21.695,29.977,0.724,0.862,0.204,0.716,0.18,3.52E-02,19.94,1
Major_3,21.289,29.735,0.716,0.877,0.204,0.697,0.18,2.09E-02,20.25,1
Major_4,22.211,30.707,0.723,0.889,0.204,0.703,0.18,6.39E-02,20.45,1
Major_5,24.284,34.895,0.696,0.858,0.102,0.683,0.55,3.55E-01,18.6,1
Major_6,23.164,31.699,0.731,0.889,0.289,0.704,0.37,1.60E-01,20.05,1
Major_7,22.224,30.826,0.721,0.877,0.289,0.695,0.55,6.49E-02,20.02,1
