target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_0_soluton_4r4v_rpr_only_A.pdb.outCR,1.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_1_rpr_only_A.pdb.outCR,0.537,0.000,0.581,0.434,0.411,0.821,0.350,0.538
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_1_rpr_only_A.pdb.outCR,0.471,0.000,0.617,0.071,0.429,0.889,0.050,0.100
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Adamiak_1_rpr_only_A.pdb.outCR,0.771,0.000,0.911,0.335,0.911,0.911,0.300,0.375
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_3_rpr_only_A.pdb.outCR,0.834,0.000,0.950,0.474,1.000,0.903,0.450,0.500
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Adamiak_2_rpr_only_A.pdb.outCR,0.801,0.000,0.911,0.434,0.911,0.911,0.350,0.538
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_7_rpr_only_A.pdb.outCR,0.810,0.000,0.941,0.391,0.982,0.902,0.350,0.438
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Adamiak_4_rpr_only_A.pdb.outCR,0.747,0.000,0.893,0.316,0.893,0.893,0.300,0.333
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_5_rpr_only_A.pdb.outCR,0.831,0.000,0.950,0.488,1.000,0.903,0.500,0.476
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_2_rpr_only_A.pdb.outCR,0.599,0.000,0.683,0.354,0.500,0.933,0.250,0.500
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_2_rpr_only_A.pdb.outCR,0.813,0.000,0.911,0.472,0.911,0.911,0.350,0.636
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_3_rpr_only_A.pdb.outCR,0.821,0.000,0.920,0.472,0.929,0.912,0.350,0.636
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_10_rpr_only_A.pdb.outCR,0.798,0.000,0.912,0.418,0.929,0.897,0.350,0.500
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Adamiak_3_rpr_only_A.pdb.outCR,0.760,0.000,0.903,0.325,0.911,0.895,0.300,0.353
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Adamiak_5_rpr_only_A.pdb.outCR,0.800,0.000,0.922,0.404,0.946,0.898,0.350,0.467
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_6_rpr_only_A.pdb.outCR,0.828,0.000,0.943,0.474,1.000,0.889,0.450,0.500
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Bujnicki_4_rpr_only_A.pdb.outCR,0.831,0.000,0.950,0.488,1.000,0.903,0.500,0.476
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_5_rpr_only_A.pdb.outCR,0.829,0.000,0.920,0.516,0.929,0.912,0.400,0.667
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_7_rpr_only_A.pdb.outCR,0.809,0.000,0.920,0.434,0.929,0.912,0.350,0.538
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_4_rpr_only_A.pdb.outCR,0.821,0.000,0.920,0.472,0.929,0.912,0.350,0.636
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Chen_9_rpr_only_A.pdb.outCR,0.817,0.000,0.912,0.496,0.929,0.897,0.400,0.615
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Das_2_rpr_only_A.pdb.outCR,0.828,0.000,0.949,0.488,0.982,0.917,0.500,0.476
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Ding_10_rpr_only_A.pdb.outCR,0.717,0.000,0.814,0.338,0.821,0.807,0.200,0.571
7_0_soluton_4r4v_rpr_only_A.pdb.outCR,7_Das_4_rpr_only_A.pdb.outCR,0.805,0.000,0.930,0.450,0.946,0.914,0.450,0.450
