target,fn,inf_all,inf_stack,inf_WC,inf_nWC,sns_WC,ppv_WC,sns_nWC,ppv_nWC
solution_5iem_rpr.pdb.outCR,11_Adamiak_5_rpr.pdb.outCR,0.794,0.710,1.000,0.866,1.000,1.000,0.750,1.000
solution_5iem_rpr.pdb.outCR,11_Adamiak_10_rpr.pdb.outCR,0.738,0.724,0.800,0.707,0.778,0.824,1.000,0.500
solution_5iem_rpr.pdb.outCR,11_Bujnicki_10_rpr.pdb.outCR,0.755,0.808,0.693,0.530,0.611,0.786,0.750,0.375
solution_5iem_rpr.pdb.outCR,11_Adamiak_6_rpr.pdb.outCR,0.485,0.000,0.943,0.667,0.889,1.000,1.000,0.444
solution_5iem_rpr.pdb.outCR,11_Adamiak_1_rpr.pdb.outCR,0.434,0.000,0.766,0.750,0.722,0.812,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Bujnicki_1_rpr.pdb.outCR,0.520,0.000,0.949,0.750,1.000,0.900,0.750,0.750
solution_5iem_rpr.pdb.outCR,11_Adamiak_7_rpr.pdb.outCR,0.545,0.000,0.973,0.894,1.000,0.947,1.000,0.800
solution_5iem_rpr.pdb.outCR,11_Adamiak_2_rpr.pdb.outCR,0.465,0.000,0.800,0.894,0.778,0.824,1.000,0.800
solution_5iem_rpr.pdb.outCR,11_Bujnicki_2_rpr.pdb.outCR,0.362,0.000,0.738,0.000,0.778,0.700,0.000,0.000
solution_5iem_rpr.pdb.outCR,11_Adamiak_8_rpr.pdb.outCR,0.446,0.000,0.825,0.707,0.778,0.875,1.000,0.500
solution_5iem_rpr.pdb.outCR,11_Adamiak_3_rpr.pdb.outCR,0.437,0.000,0.800,0.707,0.778,0.824,1.000,0.500
solution_5iem_rpr.pdb.outCR,11_Bujnicki_3_rpr.pdb.outCR,0.499,0.000,0.949,0.612,1.000,0.900,0.750,0.500
solution_5iem_rpr.pdb.outCR,11_Adamiak_9_rpr.pdb.outCR,0.446,0.000,0.800,0.756,0.778,0.824,1.000,0.571
