Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq
Adamiak_1,15.996,22.687,0.705,0.886,0.204,0.656,10.14,5.55E-17,0
Adamiak_2,15.048,22.136,0.68,0.899,0.25,0.606,7.92,0.00E+00,0
Adamiak_3,14.653,21.982,0.667,0.901,0.177,0.593,9.15,0.00E+00,0
Bujnicki_1,21.221,30.321,0.7,0.808,0.474,0.675,25.22,3.35E-08,0
Bujnicki_2,18.715,27.526,0.68,0.833,0.177,0.647,11.13,5.55E-12,0
Bujnicki_3,12.163,16.239,0.749,0.87,0.25,0.747,27.94,0.00E+00,0
Bujnicki_4,15.082,21.077,0.716,0.829,0.204,0.703,22.01,0.00E+00,0
Bujnicki_5,12.848,17.773,0.723,0.877,0.177,0.695,28.19,0.00E+00,0
Bujnicki_6,15.421,22.924,0.673,0.812,0,0.685,21.51,0.00E+00,0
Bujnicki_7,14.485,20.326,0.713,0.778,0.158,0.728,18.55,0.00E+00,0
Bujnicki_8,11.04,15.619,0.707,0.849,0.144,0.691,33.14,0.00E+00,0
Bujnicki_9,14.2,19.943,0.712,0.789,0,0.74,25.72,0.00E+00,0
Bujnicki_10,12.985,17.979,0.722,0.854,0.177,0.711,27.94,0.00E+00,0
Chen_1,21.47,31.363,0.685,0.857,0.354,0.633,0,7.17E-08,0
Chen_2,19.755,30.233,0.653,0.833,0.204,0.603,0.49,2.58E-10,0
Chen_3,20.293,31.452,0.645,0.833,0,0.607,0.49,1.66E-09,0
Chen_4,17.074,26.462,0.645,0.87,0.134,0.593,1.73,6.61E-15,0
Chen_5,20.497,31.336,0.654,0.857,0.134,0.611,2.47,3.28E-09,0
Chen_6,20.659,31.729,0.651,0.857,0,0.607,2.97,5.59E-09,0
Chen_7,21.169,31.388,0.674,0.87,0.177,0.624,2.23,2.85E-08,0
Chen_8,18.931,28,0.676,0.833,0.177,0.642,9.64,1.27E-11,0
Chen_9,19.355,28.934,0.669,0.884,0.144,0.62,11.13,6.12E-11,0
Chen_10,20.275,31.424,0.645,0.833,0,0.611,13.6,1.56E-09,0
Das_1,14.731,20.236,0.728,0.901,0.401,0.677,10.06,0.00E+00,0
Das_2,13.517,18.174,0.744,0.93,0.401,0.691,11.73,0.00E+00,0
Das_3,14.534,20.439,0.711,0.889,0.335,0.672,13.17,0.00E+00,0
Das_4,18.729,26.026,0.72,0.901,0.267,0.679,11.49,5.86E-12,0
Das_5,13.515,18.694,0.723,0.901,0.267,0.684,10.54,0.00E+00,0
Das_6,13.632,19.428,0.702,0.877,0.25,0.665,11.02,0.00E+00,0
Das_7,11.802,16.282,0.725,0.901,0.535,0.66,16.52,0.00E+00,0
Das_8,13.504,18.529,0.729,0.877,0.267,0.704,2.97,0.00E+00,0
Das_9,14.413,19.38,0.744,0.854,0.204,0.73,3.46,0.00E+00,0
Das_10,17.952,24.477,0.733,0.877,0.612,0.677,3.22,2.68E-13,0
Ding_1,13.626,19.785,0.689,0.857,0,0.658,14.84,0.00E+00,0
Ding_2,19.929,28.403,0.702,0.845,0,0.684,11.87,4.76E-10,0
Ding_3,18.522,26.732,0.693,0.849,0.25,0.648,16.33,2.62E-12,0
Ding_4,14.766,21.939,0.673,0.861,0,0.63,13.11,0.00E+00,0
Ding_5,21.226,29.371,0.723,0.873,0,0.692,9.39,3.39E-08,0
Ding_6,16.775,25.045,0.67,0.873,0,0.615,15.33,1.78E-15,0
Ding_7,18.452,26.146,0.706,0.873,0,0.682,10.14,1.99E-12,0
Ding_8,13.997,21.005,0.666,0.857,0,0.627,13.85,0.00E+00,0
Ding_9,15.272,22.993,0.664,0.845,0,0.625,12.86,0.00E+00,0
Ding_10,19.948,28.371,0.703,0.873,0,0.677,12.12,5.08E-10,0
Ding_11,11.088,15.532,0.714,0.849,0,0.689,11.38,0.00E+00,0
Ding_12,11.014,15.822,0.696,0.861,0,0.663,12.61,0.00E+00,0
Kevin_1,21.483,34.351,0.625,0.795,0,0.593,6.68,7.45E-08,0
Kevin_2,21.172,31.313,0.676,0.784,0,0.682,9.64,2.87E-08,0
Kevin_3,21.491,34.62,0.621,0.87,0,0.554,8.16,7.62E-08,0
Xiao_1,29.942,81.141,0.369,0.225,0.158,0.452,45.06,2.90E-01,0
Xiao_2,30.201,81.923,0.369,0.225,0.204,0.449,50.47,3.41E-01,0
Xiao_3,37.401,74.012,0.505,0.49,0.204,0.535,19.81,1.00E+00,0
