fn,rmsd_all
13_0_solution_4XW7_rpr.pdb,0.0 
13_Adamiak_1_rpr.pdb,9.49 
13_Bujnicki_1_rpr.pdb,8.97 
13_Bujnicki_2_rpr.pdb,13.76 
13_Bujnicki_3_rpr.pdb,8.38 
13_Bujnicki_4_rpr.pdb,14.56 
13_Bujnicki_5_rpr.pdb,11.96 
13_Bujnicki_6_rpr.pdb,15.19 
13_Bujnicki_7_rpr.pdb,12.81 
13_Bujnicki_8_rpr.pdb,12.5 
13_Bujnicki_9_rpr.pdb,16.99 
13_Bujnicki_10_rpr.pdb,14.84 
13_Chen_1.pdb,14.76 
13_Chen_2.pdb,9.43 
13_Chen_3.pdb,9.62 
13_Chen_4.pdb,15.06 
13_Chen_5.pdb,6.55 
13_Chen_6.pdb,16.15 
13_Chen_7.pdb,14.97 
13_Chen_8.pdb,14.43 
13_Chen_9.pdb,15.23 
13_Das_1_rpr.pdb,7.19 
13_Das_2_rpr.pdb,5.55 
13_Das_3_rpr.pdb,8.87 
13_Das_4_rpr.pdb,11.01 
13_Das_5_rpr.pdb,12.09 
13_Das_6_rpr.pdb,14.41 
13_Das_7_rpr.pdb,5.41 
13_Das_8_rpr.pdb,13.16 
13_Das_9_rpr.pdb,12.13 
13_Das_10_rpr.pdb,11.89 
13_Ding_1_rpr.pdb,16.17 
13_Ding_2_rpr.pdb,16.38 
13_Ding_3_rpr.pdb,13.5 
13_Ding_4_rpr.pdb,14.11 
13_Ding_5_rpr.pdb,14.96 
13_Ding_6_rpr.pdb,14.75 
13_Ding_7_rpr.pdb,16.28 
13_Ding_8_rpr.pdb,14.62 
13_Ding_9_rpr.pdb,17.22 
13_Ding_10_rpr.pdb,16.77 
13_Dokholyan_1_rpr.pdb,21.92 
13_Dokholyan_2_rpr.pdb,25.53 
13_Dokholyan_3_rpr.pdb,22.87 
13_Dokholyan_4_rpr.pdb,22.5 
13_Dokholyan_5_rpr.pdb,18.66 
13_Xiao_1_rpr.pdb,16.73 
13_Xiao_2_rpr.pdb,24.42 
13_Xiao_3_rpr.pdb,17.28 
13_Xiao_4_rpr.pdb,28.09 
13_Xiao_5_rpr.pdb,28.57 
13_Xiao_6_rpr.pdb,28.02 
13_Xiao_7_rpr.pdb,27.61 
13_Xiao_8_rpr.pdb,28.85 
13_Xiao_9_rpr.pdb,31.03 
13_Xiao_10_rpr.pdb,28.11 
