Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
AdamiakPostExp_1,16.447,21.2,0.776,0.904,0.745,0.735,5.58,2.12E-03,12.31,3
AdamiakPostExp_2,15.368,19.693,0.78,0.968,0.471,0.754,14.71,2.71E-04,14.66,3
AdamiakPreExp_1,16.649,21.461,0.776,0.904,0.745,0.735,5.07,3.01E-03,13.3,3
AdamiakPreExp_2,16.995,22.373,0.76,0.904,0.68,0.719,8.11,5.31E-03,14.36,3
BujnickiPostExp_1,11.411,14.771,0.773,0.968,0.612,0.729,18.74,7.69E-09,17.8,5
BujnickiPostExp_2,13.936,22.016,0.633,0.86,0.204,0.601,29.38,1.05E-05,21.3,5
BujnickiPostExp_3,16.187,24.396,0.664,0.839,0.5,0.622,12.66,1.33E-03,22.1,1
BujnickiPostExp_4,12.688,20.874,0.608,0.86,0.333,0.553,28.4,3.75E-07,20.23,2
BujnickiPostExp_5,11.517,16.389,0.703,0.884,0.667,0.645,23.3,1.08E-08,24.26,2
BujnickiPreExp_1,5.681,7.21,0.788,1,0.596,0.741,8.11,0.00E+00,18.62,2
BujnickiPreExp_2,4.994,6.226,0.802,0.968,0.667,0.767,9.12,0.00E+00,18.92,4
BujnickiPreExp_3,6.768,8.495,0.797,1,0.596,0.756,8.61,1.11E-16,18.97,2
BujnickiPreExp_4,6.389,8.614,0.742,0.918,0.577,0.701,11.18,0.00E+00,14.69,5
BujnickiPreExp_5,7.832,10.225,0.766,0.894,0.632,0.739,0,1.04E-14,15.44,5
BujnickiPreExp_6,10.957,13.392,0.818,0.884,0.745,0.81,8.11,1.72E-09,17.98,3
BujnickiPreExp_7,15.276,27.231,0.561,0.782,-,0.523,8.61,2.24E-04,24.2,2
ChenPostExp_1,18.302,29.035,0.63,0.938,0.236,0.568,0.51,3.37E-02,16.68,3
ChenPostExp_2,7.965,11.016,0.723,0.938,0.25,0.701,0,1.84E-14,17.34,5
ChenPostExp_3,16.909,22.174,0.763,0.968,0.745,0.697,3.55,4.62E-03,15.93,2
ChenPostExp_4,16.251,20.363,0.798,0.968,0.722,0.751,0,1.50E-03,17.16,1
ChenPostExp_5,8.333,11.884,0.701,0.968,0.333,0.66,0.51,8.72E-14,17.63,2
ChenPostExp_6,7.464,10.792,0.692,0.968,0.333,0.645,0,2.05E-15,17.55,2
ChenPostExp_7,11.566,16.961,0.682,0.968,0.333,0.629,0.51,1.27E-08,18.47,2
ChenPostExp_8,15.564,20.486,0.76,0.968,0.5,0.728,2.53,4.04E-04,16.31,2
ChenPostExp_9,11.007,14.904,0.739,0.968,0.204,0.726,0.51,2.03E-09,16.39,5
ChenPostExp_10,16.815,23.668,0.71,0.938,0.333,0.688,0,3.96E-03,15.36,2
DasPostExp_1,13.835,18.262,0.758,0.86,0.63,0.741,12.16,8.13E-06,15.87,3
DasPostExp_2,11.607,14.991,0.774,0.894,0.745,0.737,8.61,1.44E-08,15.71,3
DasPostExp_3,14.071,18.854,0.746,0.86,0.63,0.723,14.18,1.46E-05,15.91,3
DasPostExp_4,12.732,15.911,0.8,0.86,0.745,0.792,5.07,4.25E-07,15.96,3
DasPostExp_5,11.641,15.44,0.754,0.884,0.722,0.712,6.08,1.60E-08,14.48,5
DasPostExp_6,12.306,15.637,0.787,0.943,0.707,0.744,7.09,1.23E-07,16.09,3
DasPostExp_7,11.473,14.997,0.765,0.894,0.596,0.745,2.53,9.38E-09,15.32,3
DasPostExp_8,12.247,17.39,0.704,0.894,0.298,0.696,11.66,1.03E-07,16.22,2
DasPostExp_9,15.55,23.447,0.663,0.884,0.385,0.622,6.08,3.92E-04,16.21,2
DasPostExp_10,9.621,12.112,0.794,0.918,0.791,0.753,5.57,1.45E-11,15.89,5
DasPreExp_1,12.306,15.637,0.787,0.943,0.707,0.744,7.09,1.23E-07,16.09,3
DasPreExp_2,11.473,14.997,0.765,0.894,0.596,0.745,2.53,9.38E-09,15.32,3
DasPreExp_3,12.247,17.39,0.704,0.894,0.298,0.696,11.66,1.03E-07,16.22,2
DasPreExp_4,16.609,20.456,0.812,0.894,0.745,0.796,13.68,2.81E-03,17.45,2
DasPreExp_5,9.621,12.112,0.794,0.918,0.791,0.753,5.57,1.45E-11,15.89,5
DasPreExp_6,7.249,8.902,0.814,0.894,0.722,0.801,11.65,7.77E-16,16.58,5
