fn,rmsd_all
14_AdamiakPostExp_1_rpr.pdb,15.155 
14_AdamiakPostExp_2_rpr.pdb,14.585 
14_AdamiakPreExp_1_rpr.pdb,16.074 
14_AdamiakPreExp_2_rpr.pdb,16.254 
14_BujnickiPostExp_1_rpr.pdb,14.083 
14_BujnickiPostExp_2_rpr.pdb,13.993 
14_BujnickiPostExp_3_rpr.pdb,16.136 
14_BujnickiPostExp_4_rpr.pdb,12.863 
14_BujnickiPostExp_5_rpr.pdb,11.726 
14_BujnickiPreExp_4_rpr.pdb,5.977 
14_BujnickiPreExp_5_rpr.pdb,7.685 
14_BujnickiPreExp_6_rpr.pdb,10.923 
14_BujnickiPreExp_7_rpr.pdb,15.445 
14_ChenPostExp_1_rpr.pdb,17.383 
14_ChenPostExp_2_rpr.pdb,7.716 
14_ChenPostExp_3_rpr.pdb,15.806 
14_ChenPostExp_4_rpr.pdb,15.189 
14_ChenPostExp_5_rpr.pdb,8.364 
14_ChenPostExp_6_rpr.pdb,7.664 
14_ChenPostExp_7_rpr.pdb,11.256 
14_ChenPostExp_8_rpr.pdb,14.806 
14_ChenPostExp_9_rpr.pdb,10.999 
14_ChenPostExp_10_rpr.pdb,16.695 
14_DasPostExp_1_rpr.pdb,14.037 
14_DasPostExp_2_rpr.pdb,11.692 
14_DasPostExp_3_rpr.pdb,14.026 
14_DasPostExp_4_rpr.pdb,12.877 
14_DasPostExp_5_rpr.pdb,11.852 
14_DasPostExp_6_rpr.pdb,12.429 
14_DasPostExp_7_rpr.pdb,11.566 
14_DasPostExp_8_rpr.pdb,12.515 
14_DasPostExp_9_rpr.pdb,15.805 
14_DasPostExp_10_rpr.pdb,9.768 
14_DasPreExp_1_rpr.pdb,12.429 
14_DasPreExp_2_rpr.pdb,11.566 
14_DasPreExp_3_rpr.pdb,12.515 
14_DasPreExp_4_rpr.pdb,16.912 
14_DasPreExp_5_rpr.pdb,9.768 
14_DasPreExp_6_rpr.pdb,7.556 
14_DasPreExp_7_rpr.pdb,11.877 
14_DasPreExp_8_rpr.pdb,8.159 
14_DasPreExp_9_rpr.pdb,7.761 
14_DasPreExp_10_rpr.pdb,15.805 
14_DingPostExp_1_rpr.pdb,11.254 
14_DingPostExp_2_rpr.pdb,12.144 
14_DingPostExp_3_rpr.pdb,14.249 
14_DingPostExp_4_rpr.pdb,15.968 
14_DingPostExp_5_rpr.pdb,12.987 
14_DingPostExp_6_rpr.pdb,17.465 
14_DingPostExp_7_rpr.pdb,15.391 
14_DingPostExp_8_rpr.pdb,11.962 
14_DingPostExp_9_rpr.pdb,12.703 
14_DingPostExp_10_rpr.pdb,15.427 
14_DingPreExp_1_rpr.pdb,13.918 
14_DingPreExp_2_rpr.pdb,13.021 
14_DingPreExp_3_rpr.pdb,13.191 
14_DingPreExp_4_rpr.pdb,14.652 
14_DingPreExp_5_rpr.pdb,16.663 
14_DingPreExp_6_rpr.pdb,15.465 
14_DingPreExp_7_rpr.pdb,14.499 
14_DingPreExp_8_rpr.pdb,15.627 
