Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.
BujnickiPostExp_1,13.24,16.751,0.79,0.889,0.816,0.751,14.74,1.09E-05,0,1
BujnickiPostExp_2,15.094,19.372,0.779,0.877,0.73,0.751,22.85,6.53E-04,16.31,1
BujnickiPostExp_3,15.983,25.204,0.634,0.845,0,0.6,12.7,3.25E-03,16.03,1
BujnickiPostExp_4,17.978,23.218,0.774,0.913,0.707,0.732,23.86,5.34E-02,21.51,1
BujnickiPreExp_1,13.722,15.046,0.912,0.968,0.913,0.892,3.55,3.49E-05,18.83,1
BujnickiPreExp_2,18.249,21.63,0.844,0.968,0.707,0.815,9.14,7.19E-02,19.27,1
BujnickiPreExp_3,13.157,16.665,0.789,0.968,0.408,0.764,8.63,8.89E-06,20.89,2
BujnickiPreExp_4,13.897,21.354,0.651,0.845,-,0.617,7.61,5.23E-05,15.61,1
ChenPostExp_1,17.646,25.563,0.69,0.968,0,0.608,4.55,3.62E-02,20.13,2
ChenPostExp_2,9.76,12.334,0.791,0.904,0.289,0.801,4.55,3.24E-10,16.9,1
ChenPostExp_3,22.64,30.092,0.752,0.968,0.447,0.7,8.1,8.36E-01,19.64,2
ChenPostExp_4,19.307,23.017,0.839,0.933,0.913,0.795,1.52,1.91E-01,16.1,1
ChenPostExp_5,10.846,13.658,0.794,0.933,0.408,0.786,1.01,1.24E-08,17.65,1
ChenPostExp_6,11.702,15.168,0.772,0.933,0.408,0.751,4.05,1.71E-07,14.96,1
ChenPostExp_7,13.994,18.485,0.757,0.968,0,0.693,4.55,6.51E-05,21,2
ChenPostExp_8,19.16,24.359,0.787,0.968,0.5,0.741,3.04,1.70E-01,20.94,2
ChenPostExp_9,19.544,24.823,0.787,0.933,0.408,0.777,5.06,2.29E-01,16.02,1
ChenPostExp_10,15.394,19.628,0.784,1,0,0.723,4.55,1.15E-03,16.35,2
DasPostExp_1,13.279,16.533,0.803,0.913,0.913,0.747,10.15,1.20E-05,16.2,1
DasPostExp_2,6.513,8.276,0.787,0.884,0.354,0.805,10.66,7.22E-16,18.88,2
DasPostExp_3,7.065,8.135,0.868,0.889,0.913,0.857,5.58,8.27E-15,14.54,1
DasPostExp_4,11.467,14.173,0.809,0.918,0.447,0.796,6.6,8.48E-08,20.47,2
DasPostExp_5,8.658,10.613,0.816,0.889,0.772,0.795,5.58,5.59E-12,14.52,1
DasPostExp_6,6.895,7.838,0.88,0.913,0.913,0.865,16.24,3.94E-15,14.2,1
DasPostExp_7,11.406,13.928,0.819,0.889,0.816,0.795,5.58,7.06E-08,14.34,1
DasPostExp_8,19.765,24.409,0.81,0.889,0.816,0.782,12.2,2.68E-01,14.97,1
DasPostExp_9,11.749,15.298,0.768,0.889,0.667,0.736,6.6,1.96E-07,16.72,1
DasPostExp_10,9.775,11.848,0.825,0.889,0.913,0.791,6.09,3.42E-10,15.17,1
DasPreExp_1,6.895,7.838,0.88,0.913,0.913,0.865,16.24,3.94E-15,14.2,1
DasPreExp_2,11.406,13.928,0.819,0.889,0.816,0.795,5.58,7.06E-08,14.34,1
DasPreExp_3,10.086,13.163,0.766,0.918,0.408,0.741,8.63,1.01E-09,19.17,2
DasPreExp_4,19.765,24.409,0.81,0.889,0.816,0.782,12.2,2.68E-01,14.97,1
DasPreExp_5,9.775,11.848,0.825,0.889,0.913,0.791,6.09,3.42E-10,15.17,1
DasPreExp_6,13.279,16.533,0.803,0.913,0.913,0.747,10.15,1.20E-05,16.2,1
DasPreExp_7,16.446,21.425,0.768,0.943,0.408,0.734,5.58,6.88E-03,19.12,2
DasPreExp_8,15.825,19.703,0.803,0.889,0.816,0.771,4.57,2.49E-03,14.48,1
DasPreExp_9,8.382,10.12,0.828,0.889,0.913,0.795,4.57,1.91E-12,14.51,1
DasPreExp_10,11.749,15.298,0.768,0.889,0.667,0.736,6.6,1.96E-07,16.72,1
DingPostExp_1,16.983,24.282,0.699,0.889,0,0.683,14.21,1.52E-02,15.45,1
DingPostExp_2,18.445,24.862,0.742,0.968,0,0.678,15.23,8.80E-02,19.56,2
DingPostExp_3,12.886,17.729,0.727,0.913,0,0.714,15.23,4.47E-06,17.53,1
DingPostExp_4,8.974,14.1,0.636,0.913,0,0.573,13.71,1.86E-11,17.08,1
DingPostExp_5,17.544,23.641,0.742,1,-,0.635,7.61,3.19E-02,18.89,2
DingPostExp_6,6.819,9.593,0.711,0.938,0,0.627,13.2,2.83E-15,20.76,2
DingPostExp_7,17.466,25.959,0.673,0.939,-,0.61,9.64,2.89E-02,18.63,1
DingPostExp_8,7.027,9.954,0.706,0.968,0,0.671,14.21,6.99E-15,17.83,1
DingPostExp_9,7.281,10.798,0.674,1,0,0.559,11.17,2.09E-14,20.93,2
DingPostExp_10,9.657,12.4,0.779,1,-,0.687,11.68,2.25E-10,20.56,2
DingPreExp_1,9.555,13.75,0.695,0.933,0,0.662,11.68,1.57E-10,17.7,1
DingPreExp_2,19.476,27.188,0.716,0.968,0,0.678,11.17,2.18E-01,18.27,1
DingPreExp_3,21.068,29.519,0.714,0.968,-,0.659,13.71,5.41E-01,18.71,1
DingPreExp_4,9.307,13.059,0.713,0.968,0,0.682,16.75,6.39E-11,17.89,1
