fn,rmsd_all
14_BujnickiPostExp_1_rpr.pdb,13.198 
14_BujnickiPostExp_2_rpr.pdb,15.056 
14_BujnickiPostExp_3_rpr.pdb,15.948 
14_BujnickiPostExp_4_rpr.pdb,17.873 
14_BujnickiPreExp_1_rpr.pdb,12.838 
14_BujnickiPreExp_2_rpr.pdb,17.276 
14_BujnickiPreExp_3_rpr.pdb,11.582 
14_BujnickiPreExp_4_rpr.pdb,13.848 
14_ChenPostExp_1_rpr.pdb,17.195 
14_ChenPostExp_2_rpr.pdb,9.417 
14_ChenPostExp_3_rpr.pdb,22.989 
14_ChenPostExp_4_rpr.pdb,18.805 
14_ChenPostExp_5_rpr.pdb,10.595 
14_ChenPostExp_6_rpr.pdb,11.374 
14_ChenPostExp_7_rpr.pdb,13.113 
14_ChenPostExp_8_rpr.pdb,18.524 
14_ChenPostExp_9_rpr.pdb,18.961 
14_ChenPostExp_10_rpr.pdb,15.381 
14_DasPostExp_1_rpr.pdb,13.293 
14_DasPostExp_2_rpr.pdb,6.863 
14_DasPostExp_3_rpr.pdb,7.025 
14_DasPostExp_4_rpr.pdb,11.609 
14_DasPostExp_5_rpr.pdb,8.688 
14_DasPostExp_6_rpr.pdb,6.862 
14_DasPostExp_7_rpr.pdb,11.442 
14_DasPostExp_8_rpr.pdb,19.855 
14_DasPostExp_9_rpr.pdb,11.722 
14_DasPostExp_10_rpr.pdb,9.801 
14_DasPreExp_1_rpr.pdb,6.862 
14_DasPreExp_2_rpr.pdb,11.442 
14_DasPreExp_3_rpr.pdb,10.492 
14_DasPreExp_4_rpr.pdb,19.855 
14_DasPreExp_5_rpr.pdb,9.801 
14_DasPreExp_6_rpr.pdb,13.293 
14_DasPreExp_7_rpr.pdb,16.885 
14_DasPreExp_8_rpr.pdb,15.94 
14_DasPreExp_9_rpr.pdb,8.357 
14_DasPreExp_10_rpr.pdb,11.722 
14_DingPostExp_1_rpr.pdb,16.429 
14_DingPostExp_2_rpr.pdb,18.355 
14_DingPostExp_3_rpr.pdb,12.62 
14_DingPostExp_4_rpr.pdb,8.7 
14_DingPostExp_5_rpr.pdb,17.132 
14_DingPostExp_6_rpr.pdb,8.767 
14_DingPostExp_7_rpr.pdb,17.08 
14_DingPostExp_8_rpr.pdb,7.058 
14_DingPostExp_9_rpr.pdb,8.388 
14_DingPostExp_10_rpr.pdb,11.334 
14_DingPreExp_1_rpr.pdb,9.456 
14_DingPreExp_2_rpr.pdb,17.663 
14_DingPreExp_3_rpr.pdb,20.239 
14_DingPreExp_4_rpr.pdb,8.895 
