Model,RMSD,DI all,INF all,INF wc,INF nwc,INF stacking,Clash Score,P-value,mcq,best sol.,Detail
3dRNA_1,18.821,26.653,0.706,0.784,0.408,0.696,0.000,1.86e-03,20.85,1,->
3dRNA_2,19.207,26.593,0.722,0.760,0.471,0.727,0.000,3.60e-03,18.70,1,->
3dRNA_3,20.287,28.092,0.722,0.816,0.408,0.707,0.000,1.84e-02,19.51,1,->
3dRNA_4,12.449,18.355,0.678,0.784,0.000,0.678,0.000,5.89e-11,22.32,1,->
3dRNA_5,24.091,36.510,0.660,0.760,0.236,0.650,0.000,5.10e-01,22.75,1,->
Chen_1,3.740,4.710,0.794,0.962,0.577,0.738,0.000,0.00e+00,18.49,1,->
Chen_2,6.636,8.010,0.828,0.960,0.577,0.794,0.000,0.00e+00,19.71,1,->
Chen_3,9.165,13.034,0.703,0.760,0.000,0.720,0.000,5.55e-17,19.12,1,->
Chen_4,9.273,13.618,0.681,0.776,0.000,0.680,0.000,1.11e-16,19.12,1,->
Chen_5,15.848,22.613,0.701,0.760,0.000,0.723,0.000,2.64e-06,17.41,1,->
Das_1,5.496,6.447,0.852,0.981,0.617,0.824,0.000,0.00e+00,11.40,1,->
Das_2,3.877,4.442,0.873,0.981,0.548,0.857,0.000,0.00e+00,11.46,1,->
Das_3,5.633,6.512,0.865,0.981,0.577,0.850,0.000,0.00e+00,11.66,1,->
Das_4,5.698,6.682,0.853,0.962,0.365,0.851,0.000,0.00e+00,11.84,1,->
Das_5,10.904,13.596,0.802,0.917,0.365,0.798,0.000,1.43e-13,13.93,1,->
DasORIGINAL_1,5.633,6.512,0.865,0.981,0.577,0.850,0.000,0.00e+00,11.66,1,->
DasORIGINAL_2,4.034,4.613,0.874,0.981,0.667,0.850,0.000,0.00e+00,10.92,1,->
DasORIGINAL_3,3.208,3.696,0.868,0.981,0.667,0.840,0.000,0.00e+00,11.16,1,->
DasORIGINAL_4,5.698,6.682,0.853,0.962,0.365,0.851,0.000,0.00e+00,11.84,1,->
DasORIGINAL_5,10.904,13.596,0.802,0.917,0.365,0.798,0.000,1.43e-13,13.93,1,->
Dokholyan_1,8.440,11.983,0.704,0.824,0.000,0.694,0.000,0.00e+00,19.97,1,->
Dokholyan_2,11.954,16.566,0.722,0.808,-,0.720,0.000,9.25e-12,19.44,1,->
